Auvere,,,6581362,723406,Narva-Jõesuu linn,Ida-Viru,,keskiaikainen,,,
Haimre,,,6526762,526617,Märjamaa,Rapla,,keskiaikainen,,,
Eavere,,,6492002,533380,Are,Pärnu,,keskiaikainen,,,
Easte,,,6442247,394484,Salme ,Saare,,1700-luku,,,
Ihatsi,,,6402039,684812,Haanja,Vöru,,1700-luku,,http://www.eki.ee/dict/knr/index.cgi?Q=ihatsi&F=M&C06=en,
Ihamaru,,,6439354,671562,Kanepi,Põlva,,1600-luku,,,
Ihaste,,,6458657.45,637695,Tartu,Tartu,,keskiaikainen,,,
Igavere,,,6492028,661048,Tartu,Tartu,,keskiaikainen,,,
Igavere,,,6576969,561695,Raasiku,Harju,,keskiaikainen,,,
Ilmastalu,,,6590088,583606,Kuusalu,Harju,,1800-luku,,,
Kauksi,,,6546288,684719,Iisaku,Ida-Viru,,keskiaikainen,,,
Kauksi,,,6444248,690037,Põlva,Põlva ,,1600-luku,,,
Kavastu,,,6475941,680578,Luunja,Tartu,,keskiaikainen,,,
Kavastu,,,6594794,621300,Haljala,Lääne-Viru,,keskiaikainen,,,
Kaugu,,,6400774,667118,Rõuge,Võru ,,keskiaikainen,vain henkilönnimenä mainittu 1500-l.,,
Kaugatoma,,,6444048,393875,Saaremaa,Saare,,1600-luku,,,
Kirivalla,,,6554309,562458,Kose,Harju,,keskiaikainen,,,
Kirivere,,,6501849,599271,Kõo ,Viljandi ,,1600-luku,,,
Kirivere,,,6502536,599671,Torma,Jõgeva ,,keskiaikainen,,,
Kirumpää,,,6417739,677834,Tori,Võru,,keskiaikainen,epävarma,,
Kirila,,,6525296,589646,Paide,Järva,,keskiaikainen,,,
Kirimäe,,,6531647,486520,Lääne-Nigula,Lääne,,keskiaikainen,epävarma,,
Kiritu,,,6463127,427115,Pihtla,Saare,,keskiaikainen,,,http://www.eki.ee/dict/knr/index.cgi?Q=kiritu&F=M&C06=en
Kirisaare,,,6539523,595819,Paide,Järva,,keskiaikainen,epävarma,,
Külitse,,alevik,6468220,653190,Kambja,Tartu,,keskiaikainen,,,
